outcome,gross,extwarramt,tradeamt,pvdamt,flexdisc,covidamt
1,281000,0,25000,16107.78,0,0
1,313000,0,45000,0,0,0
1,185835,46410,0,0,0,0
1,295000,0,0,7927,10000,0
1,281000,0,46850,0,0,0
1,281000,0,46850,0,0,0
1,281000,0,25000,0,0,0
1,281000,0,25000,0,0,0
1,281000,0,0,0,0,0
1,281000,0,25000,0,0,0
1,281000,0,0,0,0,0
1,281000,0,25000,0,0,0
1,299000,46410,90000,0,0,0
1,281000,0,25000,0,0,0
0,294000,0,50000,0,0,0
1,300000,0,34000,0,0,0
1,292000,0,0,0,0,0
0,281000,0,0,0,0,0
1,292000,0,18000,0,0,0
0,287000,0,0,0,0,0
0,313362,0,0,0,0,0
0,293000,0,40000,30556.6666,0,0
0,293000,0,40000,30556.6666,0,0
0,293000,0,40000,30556.6666,0,0
1,300473.9,0,21000,0,0,0
0,281000,0,40000,0,0,0
1,269150,0,40000,0,0,0
0,297000,0,0,0,0,0
0,281000,0,25000,0,0,0
