,name,price_elasticity,price_mean,quantity_mean,intercept,t_score,slope,coefficient_pvalue,rsquared,ID
1,1b,0.025634123723321058,163.25360166784597,21182.28318966912,20639.29392164272,0.05005038998419647,3.326047710305113,0.9603140040232214,0.005825338628862031,6-results_values_deseasonalized
2,2a,-0.17863032381103178,150.54377635318713,40511.00899196289,47747.50364610899,-0.3701977654521396,-48.06903898284433,0.7130524120615385,0.3176999749144982,6-results_values_deseasonalized
3,2b,-0.1968011377748126,133.08700837767995,21723.943956390835,25999.240843964806,-0.4916056576417797,-32.124073864831054,0.6254983409330417,0.5588962877850934,6-results_values_deseasonalized
4,3a,-0.11340210983989846,116.09400832694608,4251.9310761865445,4734.109031119931,-0.30607011428653924,-4.153340571853336,0.761028284032994,0.21738435245794996,6-results_values_deseasonalized
5,3b,-0.11316948242483778,116.31823730601981,333.87554916148673,371.66007225440075,-0.6125255034582985,-0.32483748007208213,0.5434160376479767,0.8649818342634341,6-results_values_deseasonalized
6,4a,-0.4409247760057467,84.79473058714598,13.938425116550116,20.084222088937846,-2.3046170566584507,-0.07247852466576943,0.026080857385216785,10.993834154325189,6-results_values_deseasonalized
0,1a,4.704631369436138,5.139439961403585,7.832267411636643,-29.01566354696158,9.396443626993474,7.169639345010451,5.515955601559249e-12,67.24886327168073,4-Log_Raw
1,1b,1.1310591176617282,5.094073949229606,10.176233264809607,-1.3336881528059097,3.405595194424026,2.2594727780416624,0.001441435878011019,21.242649777561983,4-Log_Raw
2,2a,-0.8653932771781716,5.013432565649461,10.502311858436544,19.590941935556184,-2.1229180745386893,-1.8128557546364832,0.0395570882002746,9.486606000222942,4-Log_Raw
3,2b,-1.5406688388628307,4.889997454680625,9.74971455981318,24.770795969924702,-4.15836247073925,-3.0717973883060967,0.0001501200262305518,28.680396440828858,4-Log_Raw
4,3a,-1.234280348932289,4.753020512601849,8.185783487723238,18.28933518723447,-3.698477834400907,-2.1257117811133597,0.000610906883663359,24.133808732988015,4-Log_Raw
5,3b,-2.5616970790019327,4.752679191016141,5.405104384102103,19.25134449655701,-6.324065514467033,-2.913354669220692,1.2343945944820687e-07,48.18890374884903,4-Log_Raw
6,4a,-0.23987771537186703,4.4148317162173685,2.5867061978462247,3.207199370923823,-0.38882396031224065,-0.1405474122146699,0.6993251224612507,0.35035903501566823,4-Log_Raw
0,1a,-1.1083117784513228,5.139439961403585,6.6719268016366,14.0665018608555,-0.37482261793987287,-1.438790046143363,0.7096347463684863,0.32566155002553554,2-Log_Raw_Detrended
1,1b,-0.010163883346615197,5.094073949229606,9.936205690311581,10.037196125855868,-0.023782850359491722,-0.019825082350752716,0.9811358460184989,0.0013153872815085954,2-Log_Raw_Detrended
2,2a,-0.3938512245621607,5.013432565649461,10.594981876241624,14.767828462413238,-1.0424805965972357,-0.832333243048437,0.30301474372312776,2.46506128245515,2-Log_Raw_Detrended
3,2b,-0.3331465308826811,4.889997454680625,9.975481329953851,13.298778328912963,-1.1014443549856356,-0.6796111919809026,0.2768306654119475,2.7439321855235455,2-Log_Raw_Detrended
4,3a,-0.37885054843219734,4.753020512601849,8.343561182153273,11.504523911889617,-1.2826509346845203,-0.6650429387703229,0.2064856526746873,3.685040413557583,2-Log_Raw_Detrended
5,3b,-0.4095739922214958,4.752679191016141,5.803107506013509,8.17990941454198,-1.7096905458130742,-0.5000972741903733,0.09453129857626107,6.365087438160499,2-Log_Raw_Detrended
6,4a,-0.43109535162486323,4.4148317162173685,2.5223157494156294,3.609674344318888,-0.6253029671852948,-0.24629672540155415,0.5350768956868683,0.9011172052299621,2-Log_Raw_Detrended
0,1a,0.3170505728400751,5.139439961403585,6.874523179718019,4.694951667586069,0.3223357046633116,0.42408735747478793,0.748760394787869,0.2410461832038191,3-Log_results_values_deseasonalized
1,1b,0.031616839305620106,5.094073949229606,9.945880124247596,9.631422830606214,0.11298303860079519,0.061730021349386495,0.9105698380509697,0.02967762468166768,3-Log_results_values_deseasonalized
2,2a,-0.06238469640781246,5.013432565649461,10.600358333611897,11.261658470068266,-0.2552914214729562,-0.13190566100109405,0.7997152025019852,0.1513373899676873,3-Log_results_values_deseasonalized
3,2b,-0.07946293171776365,4.889997454680625,9.978729493090723,10.771668593430313,-0.38403212340567394,-0.16215531964756225,0.7028471643440306,0.3418059861462597,3-Log_results_values_deseasonalized
4,3a,-0.036193615209906646,4.753020512601849,8.346414140708346,8.648501042499714,-0.16268171418595495,-0.06355682686207391,0.8715311660883109,0.061509445224516845,3-Log_results_values_deseasonalized
5,3b,-0.0845047033354747,4.752679191016141,5.805151104039955,6.295713675904444,-0.5419573376014477,-0.10321811175300802,0.5906454566263901,0.678430430569199,3-Log_results_values_deseasonalized
6,4a,-1.2465769763695056,4.4148317162173685,2.5646125276938014,5.761599458025698,-2.7047218634345267,-0.7241469518731906,0.009756561475121099,14.539291865435288,3-Log_results_values_deseasonalized
